fold,year,sl_i,sl_j,corr,IC_i,IC_j
Fold_2015-2017_train_SSL,2018,3,5,0.5093194246292114,0.03046250529587269,0.03982248902320862
Fold_2015-2017_train_SSL,2018,3,8,0.3993382155895233,0.03046250529587269,0.04604059085249901
Fold_2015-2017_train_SSL,2018,3,10,0.3660251498222351,0.03046250529587269,0.047903165221214294
Fold_2015-2017_train_SSL,2018,3,20,0.277334988117218,0.03046250529587269,0.052820704877376556
Fold_2015-2017_train_SSL,2018,3,30,0.2299535870552063,0.03046250529587269,0.05217218026518822
Fold_2015-2017_train_SSL,2018,5,8,0.5940986275672913,0.03982248902320862,0.04604059085249901
Fold_2015-2017_train_SSL,2018,5,10,0.5176265239715576,0.03982248902320862,0.047903165221214294
Fold_2015-2017_train_SSL,2018,5,20,0.36327916383743286,0.03982248902320862,0.052820704877376556
Fold_2015-2017_train_SSL,2018,5,30,0.3101453483104706,0.03982248902320862,0.05217218026518822
Fold_2015-2017_train_SSL,2018,8,10,0.7296162843704224,0.04604059085249901,0.047903165221214294
Fold_2015-2017_train_SSL,2018,8,20,0.4645058810710907,0.04604059085249901,0.052820704877376556
Fold_2015-2017_train_SSL,2018,8,30,0.3795691430568695,0.04604059085249901,0.05217218026518822
Fold_2015-2017_train_SSL,2018,10,20,0.526677131652832,0.047903165221214294,0.052820704877376556
Fold_2015-2017_train_SSL,2018,10,30,0.4258958697319031,0.047903165221214294,0.05217218026518822
Fold_2015-2017_train_SSL,2018,20,30,0.6302981972694397,0.052820704877376556,0.05217218026518822
Fold_2015-2018_train_SSL,2019,3,5,0.5835102796554565,0.03020411543548107,0.03691454976797104
Fold_2015-2018_train_SSL,2019,3,8,0.4587586522102356,0.03020411543548107,0.04216015338897705
Fold_2015-2018_train_SSL,2019,3,10,0.42576226592063904,0.03020411543548107,0.04380858689546585
Fold_2015-2018_train_SSL,2019,3,20,0.3223521113395691,0.03020411543548107,0.05161655694246292
Fold_2015-2018_train_SSL,2019,3,30,0.3073396384716034,0.03020411543548107,0.05444904416799545
Fold_2015-2018_train_SSL,2019,5,8,0.6580243706703186,0.03691454976797104,0.04216015338897705
Fold_2015-2018_train_SSL,2019,5,10,0.5856682658195496,0.03691454976797104,0.04380858689546585
Fold_2015-2018_train_SSL,2019,5,20,0.42750805616378784,0.03691454976797104,0.05161655694246292
Fold_2015-2018_train_SSL,2019,5,30,0.3939586579799652,0.03691454976797104,0.05444904416799545
Fold_2015-2018_train_SSL,2019,8,10,0.7789374589920044,0.04216015338897705,0.04380858689546585
Fold_2015-2018_train_SSL,2019,8,20,0.530337929725647,0.04216015338897705,0.05161655694246292
Fold_2015-2018_train_SSL,2019,8,30,0.4695679247379303,0.04216015338897705,0.05444904416799545
Fold_2015-2018_train_SSL,2019,10,20,0.5913575291633606,0.04380858689546585,0.05161655694246292
Fold_2015-2018_train_SSL,2019,10,30,0.5151543021202087,0.04380858689546585,0.05444904416799545
Fold_2015-2018_train_SSL,2019,20,30,0.7049812078475952,0.05161655694246292,0.05444904416799545
